alg,threads,read_ratio,record_size,req_per_query,total_count,zipf_theta,tput_1,tput_2,tput_3
TicToc,28,0.2,32.0,1.0,8192000.0,0.99,25185666.0,25450904.0,26366265.0
2PL,1,0.2,8.0,10.0,2048000.0,0.8,196264.0,190980.0,214019.0
Hekaton,16,0.0,8.0,1.0,8192000.0,0.8,3364198.0,3393276.0,4106249.0
TicToc,4,0.0,1000.0,10.0,512000.0,0.99,355815.0,363770.0,365963.0
TicToc,4,0.6,128.0,1.0,2048000.0,0.99,6492428.0,6973868.0,7054252.0
Hekaton,28,0.6,32.0,100.0,512000.0,0.99,29925.0,30308.0,30367.0
Hekaton,1,1.0,8.0,10.0,512000.0,0.0,186618.0,184187.0,188610.0
Hekaton,16,0.6,128.0,1.0,32768000.0,0.4,3291471.0,3295356.0,3690156.0
TicToc,28,0.6,1000.0,1.0,512000.0,0.8,26706945.0,26384647.0,25443010.0
Cicada,16,1.0,32.0,10.0,32768000.0,0.4,4226501.0,4227090.0,4256016.0
TicToc,4,0.2,32.0,10.0,8192000.0,0.99,608277.0,583939.0,611440.0
TicToc,16,1.0,1000.0,1.0,32768000.0,0.4,13549745.0,11082321.0,11605614.0
Cicada,16,1.0,8.0,10.0,2048000.0,0.4,5586326.0,5564363.0,5517796.0
Hekaton,4,0.2,32.0,10.0,512000.0,0.8,585303.0,587010.0,594157.0
2PL,16,1.0,32.0,100.0,2048000.0,0.8,252929.0,250960.0,253953.0
Hekaton,4,0.6,128.0,100.0,2048000.0,0.8,45158.0,45766.0,45687.0
ERMIA,8,0.6,100.0,10.0,128000.0,0.8,1018530.0,796769.0,999863.0
Cicada,4,0.6,8.0,10.0,128000.0,0.8,1377869.0,1463638.0,1420193.0
Cicada,16,0.2,1000.0,10.0,512000.0,0.8,1811443.0,894245.0,889109.0
MOCC,8,0.6,100.0,100.0,512000.0,0.4,116975.93404144693,106916.27340767681,115634.36329588015
TicToc,1,0.6,128.0,10.0,32768000.0,0.8,198052.0,188922.0,192771.0
FOEDUS,16,1.0,100.0,10.0,128000.0,0.8,5684883.443046776,5213876.466202046,5760478.191154682
Cicada,16,1.0,128.0,1.0,32768000.0,0.0,21215303.0,18000651.0,17634066.0
2PL,4,1.0,1000.0,1.0,2048000.0,0.99,4777878.0,5109409.0,4699178.0
Hekaton,1,1.0,8.0,10.0,2048000.0,0.99,355137.0,329882.0,328242.0
2PL,4,0.2,8.0,1.0,2048000.0,0.99,5745360.0,5735327.0,5726157.0
TicToc,28,1.0,32.0,100.0,128000.0,0.0,1445752.0,1409502.0,1407887.0
TicToc,28,0.6,1000.0,1.0,32768000.0,0.8,22703475.0,12411264.0,12163962.0
Silo,4,0.2,1000.0,1.0,2048000.0,0.99,4807390.0,5065849.0,5342808.0
2PL,1,0.2,8.0,100.0,2048000.0,0.99,32205.0,32659.0,31904.0
Silo,28,0.2,128.0,100.0,2048000.0,0.8,51316.0,51366.0,51376.0
ERMIA,16,1.0,100.0,100.0,8192000.0,0.99,247261.0,245696.0,246033.0
Cicada,28,0.0,128.0,10.0,8192000.0,0.99,975061.0,961253.0,976162.0
Cicada,16,0.0,8.0,10.0,512000.0,0.99,838957.0,649333.0,646030.0
TicToc,4,1.0,1000.0,100.0,128000.0,0.99,140893.0,141665.0,139838.0
