alg,nnodes,WH,dist,tput_1,tput_2,tput_3
Calvin,16,1,60,20119.640986419752,28612.032817611107,18367.01287037037
Calvin,16,1,70,17769.491811728396,16963.160878240742,23101.511463136816
Calvin,16,1,80,21028.85444660494,19892.482833641974,21522.84978148148
Calvin,16,1,90,30992.91852950617,21321.438441338152,20175.149700617283
Calvin,16,1,100,27643.008585481482,40781.252810185186,31238.701369444447
Calvin,16,2,0,252431.98594123105,252330.26897473453,252132.05968370452
Calvin,16,2,10,56334.20305714487,44883.23088457767,22243.022887048755
Calvin,16,2,20,0.0,77163.31186566118,21901.790817955934
Calvin,16,2,30,29876.98447479118,30862.63046499453,70957.9848031557
Calvin,16,2,40,19137.555769809933,31014.83804928505,45191.8575765432
Calvin,16,2,50,49733.33853367714,30520.348557772697,38304.618203723236
Calvin,16,2,60,38451.88762948718,19298.236251273636,71288.88020134787
Calvin,16,2,70,39076.34496952668,38106.683661179544,48368.7331519671
Calvin,16,2,80,25815.555736542818,28778.46451055247,68377.26897453703
Calvin,16,2,90,37773.89243505235,28480.11598224918,55926.949789187755
Calvin,16,2,100,44062.85788662486,43431.3054052393,46354.483664892956
Calvin,16,4,0,287028.79564112297,286345.83512603864,285234.5000141512
Calvin,16,4,10,153928.3644253593,108334.84567970548,109475.69547176121
Calvin,16,4,20,246575.4863118963,72310.60424810398,72680.75987891214
Calvin,16,4,30,59906.10971736287,33253.45798120301,44945.22154200283
Calvin,16,4,40,45330.71083815307,101842.32055369472,44702.30794249276
Calvin,16,4,50,111458.0828014039,67830.01614064233,208532.96089348022
Calvin,16,4,60,147913.99024525876,42909.31678342642,21057.735324762954
Calvin,16,4,70,92238.05791357746,2828.9988076923078,33631.635409341936
Calvin,16,4,80,167386.2175991162,43.0,30489.355262667057
Calvin,16,4,90,249.0,74.74383748782863,290.9819
Calvin,16,4,100,135.9966,85.9794,77.9999
Calvin,16,8,0,302354.8067586238,302367.9457624744,302646.9916845124
Calvin,16,8,10,293811.11244010023,290745.1313932382,293496.3470850991
Calvin,16,8,20,97806.50382115677,73192.28235782639,276092.30563343584
Calvin,16,8,30,261547.20196701982,268200.40191602125,268354.8473071258
Calvin,16,8,40,254105.8503679477,102.16936900205059,249049.9113664941
Calvin,16,8,50,240775.82632163534,151501.90953623122,141734.1526641631
Calvin,16,8,60,223862.6204911096,212295.05794043065,214383.8346767321
Calvin,16,8,70,218172.63208954205,200340.98979868495,208426.41180480274
Calvin,16,8,80,208032.97073308835,197068.25063773582,200665.4761230617
Calvin,16,8,90,188833.22888708132,181762.3996200263,181341.8282847334
Calvin,16,8,100,182479.34745800804,187165.0875927153,178789.49482027
