keys,ReadRatio,nShard,nrep,nclients,tput_1,tput_2,tput_3
0.128,0.0,1,5,5,9837.678307919332,8909.559065921827,9543.623904869157
0.128,0.0,1,7,10,13482.721891895535,14991.379956524997,14346.17315831002
0.128,0.0,1,7,15,16906.287511200528,17798.800348859975,18510.10661928032
0.128,0.0,1,7,20,20486.765549455053,16795.14956080684,17507.6158128786
0.128,0.0,1,7,25,16793.45726904798,19268.565262630545,18463.129131125144
0.128,0.0,1,7,5,9516.196566556278,8680.178811683521,9196.163360645938
0.128,0.0,2,3,10,22017.702232595006,22014.30930104568,23548.80489815142
0.128,0.0,2,3,15,27813.81247740105,31689.377614399797,31026.683214396526
0.128,0.0,2,3,20,32154.340836012863,34901.577551305316,33526.67046635599
0.128,0.0,2,3,25,29167.274318214964,35006.65126374011,35946.655163737014
0.128,0.0,2,3,5,10300.146262076922,10302.26855953681,9763.813354943906
0.128,0.0,2,5,10,17729.553392550042,18691.938167068543,15672.998558084133
0.128,0.0,2,5,15,24950.47281618803,27069.189540360567,27130.144605116795
0.128,0.0,2,5,20,28638.524543215535,32975.004946250745,32824.55276546857
0.128,0.0,2,5,25,32821.32072994617,34443.56422002549,34108.7386588444
0.128,0.0,2,5,5,8792.213615622006,11276.626935351098,8622.324923692424
0.128,0.0,3,3,10,25042.57237303416,24029.219530949635,24984.384759525296
0.128,0.0,3,3,15,32414.58670988655,32676.208214880895,33136.39074822718
0.128,0.0,3,3,20,37605.29482551143,39964.830948765084,40551.500405515006
0.128,0.0,3,3,25,42233.29673114284,45024.763619991,46217.12806766188
0.128,0.0,3,3,5,11636.566747346862,10126.377187297472,10056.922179536175
0.128,1.0,1,3,10,15820.281601012499,20077.902260771796,19156.354162675758
0.128,1.0,1,3,15,23871.2372585997,24654.585798816566,26239.569666754134
0.128,1.0,1,3,20,27137.042062415196,26760.148786427253,23351.93704317773
0.128,1.0,1,3,25,28937.697138061754,27661.75209537772,26911.380822950025
0.128,1.0,1,3,5,11266.843931677859,11829.839587375196,11558.555642886864
0.128,1.0,1,5,10,16103.05958132045,16488.589895792113,18411.12031667127
