partition_num,threads,zipf,rw,servers,cross,tput
32,2,0.4,100,2,0,743084.3333333334
32,2,0.4,100,2,20,515069.3333333333
32,2,0.4,100,2,40,412820.3333333333
32,2,0.4,100,2,60,342583.3333333333
32,2,0.4,100,2,80,300275.3333333333
32,2,0.4,100,2,100,267471.0
32,2,0.4,100,4,0,1443226.6666666667
32,2,0.4,100,4,20,730134.3333333334
32,2,0.4,100,4,40,497608.0
32,2,0.4,100,4,60,384759.0
32,2,0.4,100,4,80,316242.0
32,2,0.4,100,4,100,264461.0
32,2,0.4,100,8,0,
32,2,0.4,100,8,20,
32,2,0.4,100,8,40,
32,2,0.4,100,8,60,
32,2,0.4,100,8,80,
32,2,0.4,100,8,100,
32,2,0.8,0,2,0,89402.46666666667
32,2,0.8,0,2,20,69414.03333333334
32,2,0.8,0,2,40,71403.09999999999
32,2,0.8,0,2,60,57039.96666666667
32,2,0.8,0,2,80,47637.166666666664
32,2,0.8,0,2,100,47707.43333333334
32,2,0.8,0,4,0,110731.66666666667
32,2,0.8,0,4,20,98275.33333333333
32,2,0.8,0,4,40,81015.46666666666
32,2,0.8,0,4,60,75232.3
32,2,0.8,0,4,80,65837.23333333334
32,2,0.8,0,4,100,56989.86666666666
32,2,0.8,0,8,0,
32,2,0.8,0,8,20,
32,2,0.8,0,8,40,96308.1
32,2,0.8,0,8,60,
32,2,0.8,0,8,80,
32,2,0.8,0,8,100,
32,2,0.8,20,2,0,108342.0
32,2,0.8,20,2,20,82081.59999999999
32,2,0.8,20,2,40,82679.33333333333
32,2,0.8,20,2,60,80439.16666666667
32,2,0.8,20,2,80,72112.40000000001
32,2,0.8,20,2,100,63145.43333333333
32,2,0.8,20,4,0,135757.33333333334
32,2,0.8,20,4,20,120583.33333333333
32,2,0.8,20,4,40,102457.33333333333
32,2,0.8,20,4,60,91126.23333333334
32,2,0.8,20,4,80,76698.53333333333
32,2,0.8,20,4,100,66899.83333333333
32,2,0.8,20,8,0,
32,2,0.8,20,8,20,
32,2,0.8,20,8,40,
32,2,0.8,20,8,60,
32,2,0.8,20,8,80,
32,2,0.8,20,8,100,
32,2,0.8,60,2,0,184395.0
32,2,0.8,60,2,20,155738.33333333334
32,2,0.8,60,2,40,134819.0
32,2,0.8,60,2,60,129708.0
32,2,0.8,60,2,80,120883.66666666667
32,2,0.8,60,2,100,103438.33333333333
32,2,0.8,60,4,0,242963.66666666666
32,2,0.8,60,4,20,210856.33333333334
32,2,0.8,60,4,40,171042.33333333334
32,2,0.8,60,4,60,146328.33333333334
32,2,0.8,60,4,80,123727.0
32,2,0.8,60,4,100,107212.66666666667
32,2,0.8,60,8,0,
32,2,0.8,60,8,20,
