keys,ReadRatio,nShard,nrep,nclients,tput
32.768,0.6,2,5,15,23782.701838279067
32.768,0.6,2,5,20,25570.875010727206
32.768,0.6,2,5,25,32177.978858017712
32.768,0.6,3,3,5,11144.162757722783
32.768,0.6,3,3,10,24336.892930932318
32.768,0.6,3,3,15,32550.38678860768
32.768,0.6,3,3,20,36977.492690446474
32.768,0.6,3,3,25,43837.70595692332
32.768,1.0,1,3,5,11637.531705921954
32.768,1.0,1,3,10,17588.327298714994
32.768,1.0,1,3,15,21942.008106945454
32.768,1.0,1,3,20,25248.875920196817
32.768,1.0,1,3,25,25620.972280427282
32.768,1.0,1,5,5,10824.806107608194
32.768,1.0,1,5,10,17674.29156557897
32.768,1.0,1,5,15,24519.739671473024
32.768,1.0,1,5,20,25882.754062632626
32.768,1.0,1,5,25,25254.26616100072
32.768,1.0,1,7,5,11783.855803639244
32.768,1.0,1,7,10,16286.790438561547
32.768,1.0,1,7,15,22477.195030504925
32.768,1.0,1,7,20,27006.117535252175
32.768,1.0,1,7,25,22325.13799497122
32.768,1.0,2,3,5,11422.56196257041
32.768,1.0,2,3,10,21731.494573930126
32.768,1.0,2,3,15,26558.51483401447
32.768,1.0,2,3,20,38449.41375826471
32.768,1.0,2,3,25,38157.017246328265
32.768,1.0,2,5,5,10222.447038609542
32.768,1.0,2,5,10,17585.165908404902
32.768,1.0,2,5,15,24584.549081147783
32.768,1.0,2,5,20,34485.42676214375
32.768,1.0,2,5,25,34314.66044767209
32.768,1.0,3,3,5,12979.521496229363
32.768,1.0,3,3,10,27802.172643398957
32.768,1.0,3,3,15,33197.431549435445
32.768,1.0,3,3,20,40857.29095472733
32.768,1.0,3,3,25,49149.23272911101
