num_keys,value_size,put_percent,zipf,tput
32768,128,20,0.0,18546794.369430333
32768,128,20,0.4,18029208.283532333
32768,128,20,0.8,18587989.33976433
32768,128,20,0.99,17977052.54489667
32768,128,40,0.0,18546183.08890033
32768,128,40,0.4,18547776.459638335
32768,128,40,0.8,18558142.235676
32768,128,40,0.99,18550175.452472
32768,128,60,0.0,18569767.102435004
32768,128,60,0.4,18562928.30260667
32768,128,60,0.8,18565274.526733667
32768,128,60,0.99,18502227.599715
32768,128,80,0.0,18542557.19096
32768,128,80,0.4,18564407.928676665
32768,128,80,0.8,18569327.262913335
32768,128,80,0.99,18561798.954978
32768,128,100,0.0,18578821.16112333
32768,128,100,0.4,18542360.277442668
32768,128,100,0.8,18521636.98659833
32768,128,100,0.99,18573826.677145664
32768,512,0,0.0,9333139.065386334
32768,512,0,0.4,9185044.757493999
32768,512,0,0.8,9186752.66668
32768,512,0,0.99,9183147.464089334
32768,512,20,0.0,9292485.633793667
32768,512,20,0.4,9166638.628976
32768,512,20,0.8,9168890.471801667
32768,512,20,0.99,9165184.72929
32768,512,40,0.0,9319968.115090666
32768,512,40,0.4,9173082.256654333
32768,512,40,0.8,9188030.466558667
32768,512,40,0.99,9174084.328883333
32768,512,60,0.0,9284975.11382
32768,512,60,0.4,9163561.068095667
32768,512,60,0.8,9162703.064649334
32768,512,60,0.99,9162853.450790668
32768,512,80,0.0,9314307.221323334
32768,512,80,0.4,9190638.420637334
32768,512,80,0.8,9190480.084618
32768,512,80,0.99,9186563.693457333
32768,512,100,0.0,9294866.493949
32768,512,100,0.4,9290981.300112331
32768,512,100,0.8,9161943.516688665
32768,512,100,0.99,9163623.927970333
32768,1024,0,0.0,5935889.847752
32768,1024,0,0.4,5936334.993772667
32768,1024,0,0.8,5936492.239461668
32768,1024,0,0.99,5935992.754552667
32768,1024,20,0.0,5934211.025931667
32768,1024,20,0.4,5934852.984851
32768,1024,20,0.8,5935921.224689334
32768,1024,20,0.99,5936955.461188001
32768,1024,40,0.0,5934208.7047999995
32768,1024,40,0.4,5935506.0023323335
32768,1024,40,0.8,5936534.801367334
32768,1024,40,0.99,5937457.777320333
32768,1024,60,0.0,5932784.2606253335
32768,1024,60,0.4,5936279.680947001
32768,1024,60,0.8,5936628.255767666
32768,1024,60,0.99,5935802.647059999
32768,1024,80,0.0,5933904.578307
32768,1024,80,0.4,5936175.494987
32768,1024,80,0.8,5937058.286466
32768,1024,80,0.99,5936478.312282
32768,1024,100,0.0,5933452.676254333
32768,1024,100,0.4,5935659.613851999
32768,1024,100,0.8,5936760.120685001
32768,1024,100,0.99,5936566.828052334
