warehouses,threads,cross,servers,tput
256,2,20,8,18.839399999999998
256,2,40,8,17.1156
256,2,60,8,16.498666666666665
256,2,80,8,16.271966666666668
256,2,100,8,16.035133333333334
256,4,0,8,30.58866666666667
256,4,20,8,26.82126666666667
256,4,40,8,25.717133333333333
256,4,60,8,24.1176
256,4,80,8,21.912500000000005
256,4,100,8,20.983633333333334
256,8,0,8,34.75256666666667
256,8,20,8,29.341866666666665
256,8,40,8,27.417900000000003
256,8,60,8,23.55933333333333
256,8,80,8,24.65743333333333
256,8,100,8,22.60626666666667
256,16,0,8,30.417133333333336
256,16,20,8,26.818733333333338
256,16,40,8,25.395366666666664
256,16,60,8,22.648133333333334
256,16,80,8,22.873566666666665
256,16,100,8,21.351366666666667
