alg,threads,record_size,req_per_query,total_count,read_ratio,zipf_theta,tput
2PL,1,8.0,10.0,128000.0,0.2,0.99,410766.0
2PL,1,8.0,10.0,128000.0,0.6,0.0,250031.66666666666
2PL,1,8.0,10.0,128000.0,0.6,0.4,275978.0
2PL,1,8.0,10.0,128000.0,0.6,0.8,316005.3333333333
2PL,1,8.0,10.0,128000.0,0.6,0.99,405154.0
2PL,1,8.0,10.0,128000.0,1.0,0.0,242422.0
2PL,1,8.0,10.0,128000.0,1.0,0.4,264744.0
2PL,1,8.0,10.0,128000.0,1.0,0.8,327190.6666666667
2PL,1,8.0,10.0,128000.0,1.0,0.99,420003.6666666667
2PL,1,8.0,10.0,512000.0,0.0,0.0,175701.66666666666
2PL,1,8.0,10.0,512000.0,0.0,0.4,182006.33333333334
2PL,1,8.0,10.0,512000.0,0.0,0.8,224899.66666666666
2PL,1,8.0,10.0,512000.0,0.0,0.99,324457.3333333333
2PL,1,8.0,10.0,512000.0,0.2,0.0,172191.66666666666
2PL,1,8.0,10.0,512000.0,0.2,0.4,176111.0
2PL,1,8.0,10.0,512000.0,0.2,0.8,230847.0
2PL,1,8.0,10.0,512000.0,0.2,0.99,334441.0
2PL,1,8.0,10.0,512000.0,0.6,0.0,177570.33333333334
2PL,1,8.0,10.0,512000.0,0.6,0.4,176198.33333333334
2PL,1,8.0,10.0,512000.0,0.6,0.8,230955.0
2PL,1,8.0,10.0,512000.0,0.6,0.99,330072.6666666667
2PL,1,8.0,10.0,512000.0,1.0,0.0,179222.33333333334
2PL,1,8.0,10.0,512000.0,1.0,0.4,180834.0
2PL,1,8.0,10.0,512000.0,1.0,0.8,231819.0
2PL,1,8.0,10.0,512000.0,1.0,0.99,341437.3333333333
2PL,1,8.0,10.0,2048000.0,0.0,0.0,158353.0
2PL,1,8.0,10.0,2048000.0,0.0,0.4,157618.0
2PL,1,8.0,10.0,2048000.0,0.0,0.8,193911.66666666666
2PL,1,8.0,10.0,2048000.0,0.0,0.99,277507.0
2PL,1,8.0,10.0,2048000.0,0.2,0.0,160236.66666666666
2PL,1,8.0,10.0,2048000.0,0.2,0.4,160555.66666666666
2PL,1,8.0,10.0,2048000.0,0.2,0.8,200421.0
2PL,1,8.0,10.0,2048000.0,0.2,0.99,295381.0
2PL,1,8.0,10.0,2048000.0,0.6,0.0,158131.0
2PL,1,8.0,10.0,2048000.0,0.6,0.4,165926.66666666666
2PL,1,8.0,10.0,2048000.0,0.6,0.8,210952.0
2PL,1,8.0,10.0,2048000.0,0.6,0.99,280108.6666666667
2PL,1,8.0,10.0,2048000.0,1.0,0.0,160937.33333333334
2PL,1,8.0,10.0,2048000.0,1.0,0.4,167799.66666666666
2PL,1,8.0,10.0,2048000.0,1.0,0.8,207110.0
2PL,1,8.0,10.0,2048000.0,1.0,0.99,280274.3333333333
2PL,1,8.0,10.0,8192000.0,0.0,0.0,151790.66666666666
2PL,1,8.0,10.0,8192000.0,0.0,0.4,159163.0
2PL,1,8.0,10.0,8192000.0,0.0,0.8,180034.0
2PL,1,8.0,10.0,8192000.0,0.0,0.99,258688.33333333334
2PL,1,8.0,10.0,8192000.0,0.2,0.0,157698.33333333334
2PL,1,8.0,10.0,8192000.0,0.2,0.4,155450.66666666666
2PL,1,8.0,10.0,8192000.0,0.2,0.8,181764.33333333334
2PL,1,8.0,10.0,8192000.0,0.2,0.99,254408.33333333334
2PL,1,8.0,10.0,8192000.0,0.6,0.0,152311.0
2PL,1,8.0,10.0,8192000.0,0.6,0.4,159618.0
2PL,1,8.0,10.0,8192000.0,0.6,0.8,182942.66666666666
2PL,1,8.0,10.0,8192000.0,0.6,0.99,258027.33333333334
2PL,1,8.0,10.0,8192000.0,1.0,0.0,154104.33333333334
2PL,1,8.0,10.0,8192000.0,1.0,0.4,159542.0
2PL,1,8.0,10.0,8192000.0,1.0,0.8,188883.33333333334
2PL,1,8.0,10.0,8192000.0,1.0,0.99,261423.0
2PL,1,8.0,10.0,32768000.0,0.0,0.0,148748.0
2PL,1,8.0,10.0,32768000.0,0.0,0.4,150262.66666666666
2PL,1,8.0,10.0,32768000.0,0.0,0.8,170110.0
2PL,1,8.0,10.0,32768000.0,0.0,0.99,239024.0
2PL,1,8.0,10.0,32768000.0,0.2,0.0,146240.0
2PL,1,8.0,10.0,32768000.0,0.2,0.4,147722.66666666666
2PL,1,8.0,10.0,32768000.0,0.2,0.8,165469.33333333334
2PL,1,8.0,10.0,32768000.0,0.2,0.99,238365.66666666666
2PL,1,8.0,10.0,32768000.0,0.6,0.0,150315.0
2PL,1,8.0,10.0,32768000.0,0.6,0.4,155272.33333333334
2PL,1,8.0,10.0,32768000.0,0.6,0.8,164158.66666666666
2PL,1,8.0,10.0,32768000.0,0.6,0.99,246263.0
2PL,1,8.0,10.0,32768000.0,1.0,0.0,151952.0
2PL,1,8.0,10.0,32768000.0,1.0,0.4,151354.66666666666
2PL,1,8.0,10.0,32768000.0,1.0,0.8,173744.0
2PL,1,8.0,10.0,32768000.0,1.0,0.99,244631.66666666666
2PL,1,8.0,100.0,128000.0,0.0,0.0,27930.0
2PL,1,8.0,100.0,128000.0,0.0,0.4,28961.0
2PL,1,8.0,100.0,128000.0,0.0,0.8,33069.666666666664
2PL,1,8.0,100.0,128000.0,0.0,0.99,43772.666666666664
2PL,1,8.0,100.0,128000.0,0.2,0.0,28025.0
2PL,1,8.0,100.0,128000.0,0.2,0.4,28357.666666666668
2PL,1,8.0,100.0,128000.0,0.2,0.8,34613.0
2PL,1,8.0,100.0,128000.0,0.2,0.99,45579.0
2PL,1,8.0,100.0,128000.0,0.6,0.0,27729.333333333332
2PL,1,8.0,100.0,128000.0,0.6,0.4,28902.333333333332
2PL,1,8.0,100.0,128000.0,0.6,0.8,35156.0
2PL,1,8.0,100.0,128000.0,0.6,0.99,45620.0
2PL,1,8.0,100.0,128000.0,1.0,0.0,28163.333333333332
2PL,1,8.0,100.0,128000.0,1.0,0.4,29195.333333333332
2PL,1,8.0,100.0,128000.0,1.0,0.8,38083.666666666664
2PL,1,8.0,100.0,128000.0,1.0,0.99,49657.333333333336
2PL,1,8.0,100.0,512000.0,0.0,0.0,19050.666666666668
2PL,1,8.0,100.0,512000.0,0.0,0.4,19250.0
2PL,1,8.0,100.0,512000.0,0.0,0.8,25277.666666666668
