alg,bench,thread_count,warehouse_count,tput
Silo,TPCC-FULL,1,256.0,56965.333333333336
Silo,TPCC-FULL,2,1.0,99451.0
Silo,TPCC-FULL,2,2.0,182056.0
Silo,TPCC-FULL,2,4.0,170360.0
Silo,TPCC-FULL,2,8.0,165801.0
Silo,TPCC-FULL,2,16.0,154436.0
Silo,TPCC-FULL,2,32.0,142034.0
Silo,TPCC-FULL,2,64.0,129651.0
Silo,TPCC-FULL,2,128.0,122803.0
Silo,TPCC-FULL,2,256.0,117430.0
Silo,TPCC-FULL,4,1.0,67895.33333333333
Silo,TPCC-FULL,4,2.0,219826.0
Silo,TPCC-FULL,4,4.0,317318.0
Silo,TPCC-FULL,4,8.0,315258.0
Silo,TPCC-FULL,4,16.0,298558.3333333333
Silo,TPCC-FULL,4,32.0,275671.6666666667
Silo,TPCC-FULL,4,64.0,255458.0
Silo,TPCC-FULL,4,128.0,241567.66666666666
Silo,TPCC-FULL,4,256.0,229189.0
Silo,TPCC-FULL,8,1.0,82693.0
Silo,TPCC-FULL,8,2.0,213146.0
Silo,TPCC-FULL,8,4.0,396476.0
Silo,TPCC-FULL,8,8.0,597158.0
Silo,TPCC-FULL,8,16.0,572315.0
Silo,TPCC-FULL,8,32.0,530449.0
Silo,TPCC-FULL,8,64.0,484773.0
Silo,TPCC-FULL,8,128.0,461257.0
Silo,TPCC-FULL,8,256.0,441754.0
Silo,TPCC-FULL,16,1.0,65837.0
Silo,TPCC-FULL,16,2.0,187963.0
Silo,TPCC-FULL,16,4.0,389934.0
Silo,TPCC-FULL,16,8.0,739755.3333333334
Silo,TPCC-FULL,16,16.0,1107522.0
Silo,TPCC-FULL,16,32.0,1015112.6666666666
Silo,TPCC-FULL,16,64.0,944553.0
Silo,TPCC-FULL,16,128.0,735108.0
Silo,TPCC-FULL,16,256.0,861892.6666666666
Silo,TPCC-FULL,28,1.0,47896.666666666664
Silo,TPCC-FULL,28,2.0,137351.0
Silo,TPCC-FULL,28,4.0,367836.3333333333
Silo,TPCC-FULL,28,8.0,772628.3333333334
Silo,TPCC-FULL,28,16.0,1337250.6666666667
Silo,TPCC-FULL,28,32.0,1754499.3333333333
Silo,TPCC-FULL,28,64.0,1629128.0
Silo,TPCC-FULL,28,128.0,1033950.6666666666
Silo,TPCC-FULL,28,256.0,1467637.6666666667
TicToc,TPCC,1,1.0,301499.0
TicToc,TPCC,1,2.0,251548.33333333334
TicToc,TPCC,1,4.0,218488.0
TicToc,TPCC,1,8.0,202458.0
TicToc,TPCC,1,16.0,187778.0
TicToc,TPCC,1,32.0,177075.33333333334
TicToc,TPCC,1,64.0,171118.33333333334
TicToc,TPCC,1,128.0,162612.0
TicToc,TPCC,1,256.0,157992.0
TicToc,TPCC,2,1.0,360324.0
TicToc,TPCC,2,2.0,549088.0
TicToc,TPCC,2,4.0,485578.0
TicToc,TPCC,2,8.0,418198.0
TicToc,TPCC,2,16.0,379923.0
