nnodes,#WH,dist,alg,tp
4,2,30,2pl,271.85888278398284
4,2,30,Calvin,37991.890715873014
4,2,40,2pl,583.260947879569
4,2,40,Calvin,50924.227055775664
4,2,50,2pl,219500.29391727402
4,2,50,Calvin,41034.43161590103
4,2,60,2pl,1353.1906450178951
4,2,60,Calvin,30497.46224165575
4,2,70,2pl,770.3924332496335
4,2,70,Calvin,35963.58852233257
4,2,80,2pl,512.4866232183899
4,2,80,Calvin,25259.06673263699
4,2,90,2pl,1082.4462646734894
4,2,90,Calvin,29245.477877693746
4,2,100,2pl,1081.067162627603
4,2,100,Calvin,27927.485653375345
4,4,0,2pl,1829.3539880452129
4,4,0,Calvin,72576.88249700707
4,4,10,2pl,258.2272224697226
4,4,10,Calvin,53211.126944797004
4,4,20,2pl,222.4783193596892
4,4,20,Calvin,42362.180865266106
4,4,30,2pl,516.9894290972787
4,4,30,Calvin,55176.72598438395
4,4,40,2pl,1013.4489455257362
4,4,40,Calvin,48228.78196127798
4,4,50,2pl,15469.60712418366
4,4,50,Calvin,42585.69763810958
4,4,60,2pl,279172.1832381765
4,4,60,Calvin,42677.0762414085
4,4,70,2pl,953.8640834836043
4,4,70,Calvin,174.7614645008606
4,4,80,2pl,41589.71905365497
4,4,80,Calvin,-2.0
4,4,90,2pl,1490.1600123934852
4,4,90,Calvin,-2.0
4,4,100,2pl,1705.7595645201616
4,4,100,Calvin,21393.974139070568
4,8,0,2pl,15060.657979580594
4,8,0,Calvin,76513.23554940782
4,8,10,2pl,1741.6053376167692
4,8,10,Calvin,71154.67271983087
4,8,20,2pl,15775.971835221082
4,8,20,Calvin,70445.04695394501
4,8,30,2pl,43754.26273053465
4,8,30,Calvin,66152.77735897368
4,8,40,2pl,21808.417676857756
4,8,40,Calvin,65940.72568582506
4,8,50,2pl,14478.190821711776
4,8,50,Calvin,62930.12899421862
4,8,60,2pl,1722.5633773038455
4,8,60,Calvin,60747.44514452224
4,8,70,2pl,163114.7837100949
4,8,70,Calvin,58538.05291887986
4,8,80,2pl,16295.588175626659
4,8,80,Calvin,55717.092459957195
4,8,90,2pl,235290.5870972495
4,8,90,Calvin,54060.832887607896
4,8,100,2pl,21830.071845534945
4,8,100,Calvin,51462.52273049282
4,16,0,2pl,18448.226635352024
4,16,0,Calvin,78017.35730035316
4,16,10,2pl,4370.217104813645
4,16,10,Calvin,73756.1120399357
4,16,20,2pl,4716.500029035161
4,16,20,Calvin,72490.488971548
4,16,30,2pl,2259.650635449009
4,16,30,Calvin,67941.52558406755
4,16,40,2pl,1619.4160006268705
4,16,40,Calvin,67827.85087028243
4,16,50,2pl,19137.504018716234
4,16,50,Calvin,64985.98048065582
4,16,60,2pl,12599.2484495484
4,16,60,Calvin,64933.49629374573
4,16,70,2pl,250562.51013012973
4,16,70,Calvin,63260.16580965049
4,16,80,2pl,103063.78314672156
4,16,80,Calvin,60491.67219337749
4,16,90,2pl,56544.923550382904
4,16,90,Calvin,60476.06219504402
4,16,100,2pl,2862.2901078474006
4,16,100,Calvin,58512.517322643725
4,32,0,2pl,18500.535275378516
4,32,0,Calvin,69503.14386007957
4,32,10,2pl,11192.36084998604
4,32,10,Calvin,78006.62681904987
4,32,20,2pl,5717.76191437829
4,32,20,Calvin,74385.42434611185
4,32,30,2pl,62834.426742617485
4,32,30,Calvin,70994.13797571544
4,32,40,2pl,6569.9580299205945
4,32,40,Calvin,67542.48229790603
4,32,50,2pl,52253.39344206421
4,32,50,Calvin,65045.23691767902
4,32,60,2pl,59750.15535457676
4,32,60,Calvin,62866.677928842335
4,32,70,2pl,195421.40461853318
4,32,70,Calvin,59309.7160196396
4,32,80,2pl,3640.666604906355
4,32,80,Calvin,62839.30993548231
4,32,90,2pl,164539.0960211585
4,32,90,Calvin,57651.4523959207
4,32,100,2pl,49492.96558601759
4,32,100,Calvin,56465.08257474142
4,64,0,2pl,18906.312052950205
4,64,0,Calvin,79418.73784380032
4,64,10,2pl,10411.26079846086
4,64,10,Calvin,47640.33737867616
4,64,20,2pl,76522.842467414
4,64,20,Calvin,78858.9387771269
4,64,30,2pl,11389.329789465684
4,64,30,Calvin,78742.49062560387
4,64,40,2pl,7707.692014750297
4,64,40,Calvin,75172.28350153835
4,64,50,2pl,7630.937329592739
4,64,50,Calvin,71132.53621060606
4,64,60,2pl,6726.4514734326285
4,64,60,Calvin,66892.05683141293
4,64,70,2pl,44961.346803119995
4,64,70,Calvin,65043.20210524154
4,64,80,2pl,11367.670757691934
4,64,80,Calvin,62712.56777018006
4,64,90,2pl,5191.951818290193
4,64,90,Calvin,58095.83599060899
4,64,100,2pl,5303.09544346115
4,64,100,Calvin,58322.926111786604
4,128,0,2pl,12026.716091835015
4,128,0,Calvin,77986.77555555556
4,128,10,2pl,10392.021516387053
4,128,10,Calvin,78946.63875
4,128,20,2pl,8850.042099269047
4,128,20,Calvin,-2.0
4,128,30,2pl,5966.627904057895
4,128,30,Calvin,29378.20048888889
4,128,40,2pl,10274.170513041161
4,128,40,Calvin,77980.42124999998
4,128,50,2pl,10287.87538386737
4,128,50,Calvin,52505.5714888889
4,128,60,2pl,5341.256039361295
4,128,60,Calvin,-2.0
4,128,70,2pl,8999.810130607066
4,128,70,Calvin,51825.050232222224
4,128,80,2pl,5458.905831362907
4,128,80,Calvin,61617.170722222225
4,128,90,2pl,506307.15039481217
4,128,90,Calvin,68821.54097777778
